Performance indicator,Performance,Publication Year,Average_Performance
['Meanabsolutepercentageerror'],0.0028108759653920163,0.9444444444444429,0.4736276602049174
['Meanabsolutepercentageerror'],0.0028108759653920163,0.9444444444444429,0.4736276602049174
"['Scorefunction(thesmallerthebetter)', 'Meanaccuracy', 'Errorrange']","[0.17973315318358388, 0.018444350758853312, 0.9999999999999999]",0.9444444444444429,0.5356554870967201
"['Scorefunction(thesmallerthebetter)', 'Meanaccuracy', 'Errorrange']","[0.10143556831616282, 0.005164418212478927, 0.6382978723404256]",0.9444444444444429,0.42233557582837755
"['Scorefunction(thesmallerthebetter)', 'Meanaccuracy', 'Errorrange']","[0.09731464279682486, 0.0011593591905565415, 0.5319148936170213]",0.9444444444444429,0.39370833501221136
"['Scorefunction(thesmallerthebetter)', 'Meanaccuracy', 'Errorrange']","[0.09248437763891235, 0.0, 0.46808510638297873]",0.9444444444444429,0.3762534821165835
['Not available'],0.0,0.9444444444444429,0.47222222222222143
['Meanabsolutepercentageerror'],0.004732092726692516,0.9444444444444429,0.4745882685855677
['Not available'],0.0,0.9444444444444429,0.47222222222222143
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.0027953509814623153, 0.02821355349754716]",0.7777777777777857,0.26959556075226504
"['Meanabsolutepercentageerror', 'Rootmeansquareerror']","[0.0027976797290517703, 0.028213641045880405]",0.7777777777777857,0.26959636618423927
['Meanaccuracy'],1.0,0.8888888888888857,0.9444444444444429
['Not available'],0.0,0.7777777777777857,0.38888888888889284
"['Errorrange', 'Accuracy', 'Steadyindicator']","[0.2978723404255319, 0.6282730923694778, 1.0]",0.8333333333333286,0.6898696915320846
"['Errorrange', 'Accuracy', 'Steadyindicator']","[0.7659574468085106, 0.5076305220883534, 0.5055350553505538]",0.8333333333333286,0.6531140893951866
"['Errorrange', 'Accuracy', 'Steadyindicator']","[0.0, 0.7412449799196786, 0.0]",0.8333333333333286,0.39364457831325184
['Not available'],0.0,0.7222222222222285,0.36111111111111427
['Not available'],0.0,0.7222222222222285,0.36111111111111427
['Not available'],0.0,0.7222222222222285,0.36111111111111427
['Not available'],0.0,0.7222222222222285,0.36111111111111427
['Accuracy'],0.008032128514056224,0.8333333333333286,0.4206827309236924
['Accuracy'],0.7991967871485943,0.8333333333333286,0.8162650602409615
['Accuracy'],0.7228915662650601,0.8333333333333286,0.7781124497991944
['Accuracy'],0.7269076305220883,0.8333333333333286,0.7801204819277084
['Accuracy'],0.7590361445783131,0.8333333333333286,0.7961847389558209
['Accuracy'],0.7670682730923694,0.8333333333333286,0.8002008032128489
['Rootmeansquareerror'],0.028214809465935905,0.9444444444444429,0.4863296269551894
['Errorpercentage'],0.0,0.8333333333333286,0.4166666666666643
['Accuracy'],0.008032128514056224,0.8888888888888857,0.448460508701471
['Errorpercentage'],1.0,0.8888888888888857,0.9444444444444429
